shapeID,shapeLabel,propertyID,path,propertyLabel,AltPropertyID,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note
,,southBoundLatitude,/resource/geolocations/geolocationBox/southBoundLongitude,southBoundLatitude,dct:spatial,TRUE,FALSE,,xsd:float,,x >= -90; x <= 90,,
,,northBoundLatitude,/resource/geolocations/geolocationBox/northBoundLongitude,northBoundLatitude,dct:spatial,TRUE,FALSE,,xsd:float,,x >= -90; x <= 90,,
,,,,,,,,,,,,,
geoLocationPolygon-S,Geolocation Polygon,geoLocationPolygon,/resource/geolocations/geolocationPolygon,,,FALSE,TRUE,,,polygonPoint-S,,,Requires 4 occurrences
,,geoLocationPolygon,/resource/geolocations/geolocationPolygon,,,FALSE,FALSE,,,inPolygonPoint-S,,,
,,,,,,,,,,,,,
polygonPoint-S,Polygon Point,pointLongitude,/resource/geolocations/geoLocationPolygon/polygonPoint/pointLongitude,pointLongitude,dct:spatial,TRUE,FALSE,,xsd:float,,x >= -180; x <= 180,,
,,pointLatitude,/resource/geolocations/geoLocationPolygon/polygonPoint/pointLatitude,pointLatitude,dct:spatial,TRUE,FALSE,,xsd:float,,x >= -90; x <= 90,,
,,,,,,,,,,,,,
inPolygonPoint-S,inPolygon Point,pointLongitude,/resource/geolocations/geoLocationPolygon/inPolygonPoint/pointLongitude,pointLongitude,dct:spatial,TRUE,FALSE,,xsd:float,,x >= -180; x <= 180,,
,,pointLatitude,/resource/geolocations/geoLocationPolygon/inPolygonPoint/pointLatitude,pointLatitude,dct:spatial,TRUE,FALSE,,xsd:float,,x >= -90; x <= 90,,
